DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-09-20 01:32:30.850890,4,770,2592,875,1410,1455,310,811
2018-09-20 01:39:01.932373,4,773,2590,876,1415,1459,310,810
2018-09-20 01:39:40.024931,4,773,2591,876,1414,1459,310,810
2018-09-20 01:39:52.258908,4,773,2591,876,1415,1459,310,810
2018-09-20 01:40:49.225890,4,773,2590,876,1412,1458,310,810
2018-09-20 01:41:02.600454,4,773,2590,876,1412,1458,310,810
2018-09-20 01:41:45.974102,4,772,2593,877,1416,1460,310,810
2018-09-20 01:42:28.894637,4,773,2593,877,1414,1460,310,811
2018-09-20 01:42:42.144220,4,773,2593,877,1414,1460,310,811
2018-09-20 01:42:48.347157,4,773,2593,877,1414,1460,310,811
2018-09-20 01:46:19.293662,4,773,2593,878,1415,1459,310,811
2018-09-20 02:00:00.986621,4,779,2592,882,1443,1475,310,812
2018-09-20 02:15:00.755257,4,784,2597,883,1456,1488,310,812
2018-09-20 02:30:00.789552,4,785,2600,886,1468,1499,311,812
2018-09-20 02:45:00.761313,4,790,2608,886,1473,1505,311,812
2018-09-20 03:00:01.029949,4,789,2612,887,1477,1504,311,812
2018-09-20 03:15:00.782960,4,789,2614,888,1482,1507,311,814
2018-09-20 03:30:00.739099,4,788,2615,888,1481,1508,311,813
2018-09-20 03:45:00.788983,4,788,2615,888,1480,1507,311,812
2018-09-20 04:00:00.760745,4,788,2616,888,1482,1508,311,813
2018-09-20 04:15:01.545007,4,788,2616,888,1483,1509,311,814
2018-09-20 04:30:00.766768,4,788,2617,888,1484,1511,311,814
2018-09-20 04:45:00.785436,4,789,2614,888,1483,1509,311,813
2018-09-20 05:00:00.804074,4,790,2615,890,1479,1508,311,826
2018-09-20 05:15:00.760210,4,792,2614,890,1480,1509,311,826
2018-09-20 05:30:00.763222,4,792,2613,890,1481,1511,311,825
2018-09-20 05:45:07.750390,4,792,2611,889,1479,1510,312,827
2018-09-20 06:00:00.784869,4,790,2608,885,1474,1502,312,825
2018-09-20 06:15:06.881444,4,788,2603,882,1471,1499,312,822
2018-09-20 06:30:01.634615,4,784,2583,875,1467,1488,311,819
2018-09-20 06:45:02.668841,4,779,2548,862,1452,1474,312,805
2018-09-20 07:00:03.890571,4,763,2485,844,1433,1448,311,790
2018-09-20 07:15:06.971614,4,749,2441,820,1412,1423,310,770
2018-09-20 07:30:00.802971,4,737,2390,806,1240,1313,309,673
2018-09-20 07:45:00.821607,4,715,2318,779,1215,1284,309,647
2018-09-20 08:00:00.793368,4,690,2238,749,1182,1243,310,627
2018-09-20 08:15:00.765130,4,647,2137,716,1149,1193,310,611
2018-09-20 08:30:00.783767,4,592,1977,654,1097,1132,308,579
2018-09-20 08:45:00.802407,4,533,1807,590,1033,1058,309,550
2018-09-20 09:00:00.821041,4,440,1617,480,947,967,310,513
2018-09-20 09:15:00.839676,4,362,1462,356,861,865,309,488
2018-09-20 09:30:05.936282,4,277,1307,267,759,755,305,439
2018-09-20 09:45:00.830107,4,516,1117,528,632,629,302,391
2018-09-20 10:00:00.801869,4,401,976,364,525,523,298,351
2018-09-20 10:15:03.148535,4,299,795,224,396,394,290,316
2018-09-20 10:30:06.682704,4,222,681,123,310,307,275,284
2018-09-20 10:45:02.076505,4,146,563,54,243,241,258,263
2018-09-20 11:00:08.126196,4,75,435,FULL,192,187,249,241
2018-09-20 11:15:01.629395,4,21,337,FULL,154,150,233,219
2018-09-20 11:30:00.819939,4,FULL,258,8,105,101,222,203
2018-09-20 11:45:00.854201,4,FULL,173,FULL,67,65,211,179
2018-09-20 12:00:00.966587,4,FULL,85,FULL,24,23,201,164
